Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00214315,130,300,15,0.5,0.06,1,0
0.00219095,130,300,15,0.5,0.07,1,0
0.00214615,130,300,15,0.5,0.08,1,0
0.00215815,130,300,15,0.5,0.09,1,0
0.00213325,130,300,15,0.5,0.1,1,0
0.00231375,130,300,15,0.6,0.05,1,0
0.0022814,130,300,15,0.6,0.06,1,0
0.0023041,130,300,15,0.6,0.07,1,0
0.0022999,130,300,15,0.6,0.08,1,0
0.00232615,130,300,15,0.6,0.09,1,0
0.0023095,130,300,15,0.6,0.1,1,0
0.00245815,130,300,15,0.7,0.05,1,0
0.00247815,130,300,15,0.7,0.06,1,0
0.00243705,130,300,15,0.7,0.07,1,0
0.00252275,130,300,15,0.7,0.08,1,0
0.00254245,130,300,15,0.7,0.09,1,0
0.0024607,130,300,15,0.7,0.1,1,0
0.0026059,130,300,15,0.8,0.05,1,0
0.00259025,130,300,15,0.8,0.06,1,0
0.0026588,130,300,15,0.8,0.07,1,0
0.0026388,130,300,15,0.8,0.08,1,0
0.0026249,130,300,15,0.8,0.09,1,0
0.0026242,130,300,15,0.8,0.1,1,0
0.00273315,130,300,15,0.9,0.05,1,0
0.0027389,130,300,15,0.9,0.06,1,0
0.00277985,130,300,15,0.9,0.07,1,0
0.0027791,130,300,15,0.9,0.08,1,0
0.00275765,130,300,15,0.9,0.09,1,0
0.00280535,130,300,15,0.9,0.1,1,0
